ID,y
1,79.715965
2,101.362144
3,79.70194
4,79.06457
5,112.25051
8,92.50794
10,105.886826
11,97.063675
12,117.528786
14,92.2989
15,117.705635
16,106.960434
17,94.65589
19,91.62803
20,100.660164
21,99.091774
22,112.59885
23,94.65589
26,93.21501
28,97.922
29,94.65589
33,94.65589
35,94.83191
41,94.65589
42,89.93471
43,116.787445
45,99.45816
46,99.982765
51,94.287506
53,76.15767
55,108.58258
56,101.74282
57,104.960144
58,94.30079
59,105.59673
63,103.53601
64,95.86627
65,104.87116
69,93.46085
71,92.45908
72,107.20715
73,95.949326
76,108.72885
77,103.25468
78,113.83151
82,92.63242
83,104.87116
84,100.90342
85,100.66646
87,112.08901
88,94.65589
89,107.02991
91,93.036736
93,97.48675
94,110.69559
95,91.8283
96,111.70442
97,95.45434
98,110.77211
99,97.61656
101,103.849144
103,107.02991
104,99.97381
105,106.548744
110,103.27815
111,106.27629
113,103.42075
114,93.97122
115,104.21812
117,107.02991
120,93.04901
121,107.16931
122,100.79865
123,109.02686
126,105.639366
132,111.461266
135,108.27509
137,102.812454
138,92.73079
140,102.41608
142,110.70534
144,110.117035
148,92.79636
149,102.74052
155,100.93563
156,107.428665
157,95.45434
162,104.151215
163,99.04987
167,96.77761
172,116.787445
179,104.94244
180,93.5996
181,110.77844
182,102.30219
183,107.02991
185,107.02991
187,109.56999
188,93.595345
189,94.145256
191,95.61598
192,101.21968
193,91.26862
194,109.832466
195,100.36961
196,114.90641
198,97.23308
199,110.74467
201,100.82805
204,94.10386
205,107.48626
206,103.25167
210,93.19035
211,103.849144
216,108.66908
219,117.528786
220,94.679756
221,110.25809
226,110.77844
227,93.52058
228,110.93147
230,107.97872
231,95.45434
235,112.59885
236,92.96189
238,109.29737
242,106.448326
243,94.17439
244,79.81862
245,110.79053
247,112.737976
248,94.88728
249,93.17946
250,114.45312
251,92.96189
253,112.59885
254,90.78668
256,98.23797
257,92.83647
258,105.561844
259,97.57923
262,82.58513
266,97.74654
267,109.24573
272,100.77584
273,107.02991
275,99.43129
276,106.02621
279,94.002075
280,104.87116
283,90.93563
285,110.97658
288,107.02991
289,100.69693
290,100.82805
291,90.94386
292,105.29409
293,111.06225
296,98.30921
297,109.31091
298,113.83151
299,92.63242
304,90.90069
305,82.865425
306,92.811035
307,109.67442
311,107.4813
313,110.77844
314,95.87578
316,95.02258
324,101.86198
327,100.00351
329,91.05199
330,111.07349
337,102.98611
338,98.6178
339,97.43278
340,92.62064
343,94.423164
345,117.705635
346,92.88946
347,107.67922
349,109.145256
350,91.93657
352,108.860214
353,93.014565
354,79.03258
357,91.57672
358,106.21947
362,107.056175
364,105.58803
365,105.534706
366,100.19427
367,107.13193
368,95.39931
370,78.21061
373,99.430084
377,101.36157
378,104.227745
382,108.72885
384,110.97658
390,91.64704
392,106.12128
393,106.17891
395,94.79439
396,101.81506
399,77.9835
406,110.77844
408,110.77844
409,92.92065
410,76.577835
412,113.14223
413,93.43484
419,92.704865
420,104.47977
